cadence camera chip mean_x mean_y median_x median_y, average_x, average_y
163826 3 3 1.287628338957603 1.0424954549719274 1.2708676694994665 1.037386094881981 1.287628338957603 1.0424954549719274
170826 3 3 1.282909562857265 1.0659458486214481 1.256319532713178 1.0376494130125593 1.282909562857265 1.0659458486214481
173826 3 3 1.283962160894141 1.0691557059105823 1.2593269205287925 1.081026338027641 1.283962160894141 1.0691557059105823
180826 3 3 1.283099556190236 1.0657457956827074 1.2570117488817232 1.0374970466140212 1.283099556190236 1.0657457956827074
183826 3 3 1.284040360284835 1.0689829313892072 1.2585211450657425 1.0816481259539614 1.284040360284835 1.0689829313892072
190826 3 3 1.2832011347969015 1.066173521564304 1.2582939164178697 1.0378446928074254 1.2832011347969015 1.066173521564304
193826 3 3 1.2854850608843782 1.0636525413003375 1.2569843511250838 1.0388659927161825 1.2854850608843782 1.0636525413003375
200826 3 3 1.2877136999786387 1.0424636135388994 1.2710029911471565 1.0370406630705133 1.2877136999786387 1.0424636135388994
203826 3 3 1.2882079717515111 1.042571500998129 1.2722338481617044 1.0381856383378931 1.2882079717515111 1.042571500998129
210826 3 3 1.287794429331214 1.0421024334911948 1.2712739433160323 1.0377671335385799 1.287794429331214 1.0421024334911948
213826 3 3 1.284058661765016 1.0691343275782268 1.2579683113528972 1.0815961862476797 1.284058661765016 1.0691343275782268
220826 3 3 1.2871366376456521 1.0378512911343734 1.2703597469360375 1.0372665390596012 1.2871366376456521 1.0378512911343734
223826 3 3 1.2887905403489057 1.0460217797491609 1.2756131371986612 1.060481599406728 1.2887905403489057 1.0460217797491609
230826 3 3 1.287370962150007 1.0419848478019489 1.2709495900959382 1.0368537814147771 1.287370962150007 1.0419848478019489
233826 3 3 1.2849759292932423 1.0700335368200058 1.2590157718568662 1.0391379388820496 1.2849759292932423 1.0700335368200058
